Time coordinates[0] coordinates[1] coordinates[2] velocity_probe[0] velocity_probe[1] velocity_probe[2]
26804.400000 2280.000000 1000.000000 30.000000 6.930371 0.835128 -0.014357 
26804.400000 2280.000000 1000.000000 150.000000 9.162606 -0.168057 -0.076541 
26804.400000 2280.000000 1000.000000 270.000000 9.609164 -1.066330 0.074852 
26804.800000 2280.000000 1000.000000 30.000000 6.927803 0.871646 0.009639 
26804.800000 2280.000000 1000.000000 150.000000 9.163610 -0.188945 -0.069477 
26804.800000 2280.000000 1000.000000 270.000000 9.597932 -1.057621 0.082667 
26805.200000 2280.000000 1000.000000 30.000000 6.927197 0.900074 0.034493 
26805.200000 2280.000000 1000.000000 150.000000 9.165559 -0.198236 -0.053948 
26805.200000 2280.000000 1000.000000 270.000000 9.588100 -1.055857 0.092146 
26805.600000 2280.000000 1000.000000 30.000000 6.926055 0.922338 0.061587 
26805.600000 2280.000000 1000.000000 150.000000 9.165419 -0.194013 -0.033519 
26805.600000 2280.000000 1000.000000 270.000000 9.579410 -1.060445 0.106009 
26806.000000 2280.000000 1000.000000 30.000000 6.922131 0.940641 0.091770 
26806.000000 2280.000000 1000.000000 150.000000 9.159647 -0.176420 -0.012569 
26806.000000 2280.000000 1000.000000 270.000000 9.572856 -1.069660 0.127135 
26806.400000 2280.000000 1000.000000 30.000000 6.913756 0.957084 0.125035 
26806.400000 2280.000000 1000.000000 150.000000 9.145297 -0.146238 0.004607 
26806.400000 2280.000000 1000.000000 270.000000 9.571876 -1.081482 0.155127 
26806.800000 2280.000000 1000.000000 30.000000 6.900071 0.973148 0.160207 
26806.800000 2280.000000 1000.000000 150.000000 9.120971 -0.104389 0.015272 
26806.800000 2280.000000 1000.000000 270.000000 9.582180 -1.095231 0.184110 
26807.200000 2280.000000 1000.000000 30.000000 6.880966 0.989958 0.195156 
26807.200000 2280.000000 1000.000000 150.000000 9.087376 -0.053030 0.019190 
26807.200000 2280.000000 1000.000000 270.000000 9.609427 -1.113057 0.204811 
26807.600000 2280.000000 1000.000000 30.000000 6.857065 1.008406 0.227353 
26807.600000 2280.000000 1000.000000 150.000000 9.046195 0.004359 0.018884 
26807.600000 2280.000000 1000.000000 270.000000 9.654528 -1.138797 0.209043 
26808.000000 2280.000000 1000.000000 30.000000 6.829690 1.028835 0.254258 
26808.000000 2280.000000 1000.000000 150.000000 8.998494 0.064328 0.019138 
26808.000000 2280.000000 1000.000000 270.000000 9.709907 -1.173267 0.191886 
26808.400000 2280.000000 1000.000000 30.000000 6.800327 1.050998 0.273688 
26808.400000 2280.000000 1000.000000 150.000000 8.945316 0.123899 0.027334 
26808.400000 2280.000000 1000.000000 270.000000 9.761045 -1.210302 0.152500 
26808.800000 2280.000000 1000.000000 30.000000 6.769838 1.074068 0.284686 
26808.800000 2280.000000 1000.000000 150.000000 8.890569 0.179354 0.050838 
26808.800000 2280.000000 1000.000000 270.000000 9.793395 -1.239973 0.095400 
26809.200000 2280.000000 1000.000000 30.000000 6.738502 1.096470 0.287850 
26809.200000 2280.000000 1000.000000 150.000000 8.842009 0.227289 0.093537 
26809.200000 2280.000000 1000.000000 270.000000 9.800198 -1.257531 0.031355 
26809.600000 2280.000000 1000.000000 30.000000 6.705913 1.115881 0.285138 
26809.600000 2280.000000 1000.000000 150.000000 8.809301 0.265619 0.152137 
26809.600000 2280.000000 1000.000000 270.000000 9.785782 -1.266681 -0.025229 
26810.000000 2280.000000 1000.000000 30.000000 6.671972 1.129760 0.279344 
26810.000000 2280.000000 1000.000000 150.000000 8.799606 0.295066 0.216391 
26810.000000 2280.000000 1000.000000 270.000000 9.762330 -1.273920 -0.061963 
26810.400000 2280.000000 1000.000000 30.000000 6.637324 1.135812 0.273308 
26810.400000 2280.000000 1000.000000 150.000000 8.813569 0.319679 0.270561 
26810.400000 2280.000000 1000.000000 270.000000 9.742380 -1.282470 -0.076283 
26810.800000 2280.000000 1000.000000 30.000000 6.603345 1.132266 0.269158 
26810.800000 2280.000000 1000.000000 150.000000 8.845155 0.345177 0.299546 
26810.800000 2280.000000 1000.000000 270.000000 9.733129 -1.293451 -0.074598 
26811.200000 2280.000000 1000.000000 30.000000 6.572504 1.118573 0.267970 
26811.200000 2280.000000 1000.000000 150.000000 8.886641 0.372435 0.299412 
